,datetime,network,receiver,sender,status,txfee,txhash,unixtimestamp,value
81,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00526706,66296645bea31c2d587873f22db1992277db72e0c09fc8c3dacd5ec013ac55d1,1514679269,2.69945451
82,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00256345,13c9938a42b6b99a86011c9b37fc2fe999e070f8780542d27b1cd4f4fdb64f88,1514679269,0.06367535
83,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00223178,819007fd5a2385a5e37bef2bc603d194b7950ebdb27158eebd583eb4603d7f4d,1514679269,0.19584517
84,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00223178,fa7007d61b0c02eb5dca07276cc1033ef3b8bbe6417eae362391af8e158f6bb8,1514679269,0.22897073
85,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00223178,ac0f13b497ed30d5d9bc087b89796db9fd09c531177be78c1cda17cc9cb046be,1514679269,0.03226822
86,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00223178,8200bfb980615de53daf10e52298be5d2f3e03903e003322953be58b564e283b,1514679269,0.2898277
87,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00358189,71eee7cef5ce8e4fba2742fabf9321bd608452e60b49ddbad9f95c6d13633f41,1514679269,0.04152532
88,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00628208,0e52ee4144985f0a607d75fbde52648ad5a6c556b9a1e67b8ca4af927b63e41b,1514679269,0.18235792
89,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0015496,4e288f53366265b4c7d846b18e5daf2287a1ff20ae45880ad1fdd0f3d43ea135,1514679269,0.59689657
90,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00466995,d57f8946cfe475bee0c929fdf677d8b4c459a22832c917354f878de9f9812c88,1514679269,2.24794831
91,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.002,b00e67072f54576a892f795ce7e6aaf588502d5af776ada736c9ef5efc60dc99,1514679269,0.01274841
92,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00225514,0628de68bbbf8a09215afc689130e4fe3788e59048c9772454b6d42870c618e4,1514679269,9.99774486
93,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0019376,b30fbc8b0522b27bb8c370dfb2602ef78a04dae75024b22dfc13ebc4d0af6b64,1514679269,78.3894414
94,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0019549,d2d4f2fcd0cffc265b60459109b00bf6d3aea22f4b50b599dcf596d1795e7640,1514679269,0.03651637
95,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0019549,45ed79e224e2e1f2ac0bcd0d26991a0816923027165b38e497b9ef9fb2fb019c,1514679269,95.10753835
96,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0019376,951ea1a054240b93d18360cd75df547b02c5625fb8b9a29fed4eefcbeba2d534,1514679269,79.59012654
97,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0019549,034c6144ddfd0ce2067ff5cbf4997d8aadb10522489898fb20d000734145f4cb,1514679269,30.65989277
98,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0019549,c486ed9fdfba7f8d46f55cefe395719fd3bfd21537be12e846e6b04331ae54d3,1514679269,44.36519805
99,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0019376,13f8ff52fbaa7c062f45b5fbab0fa0b0f09cd8d8a85a7d637ead8eafd91226ed,1514679269,110.62522703
100,2017-12-30 19:20:54,Bitcoin,SomeNumberOfReceivers,Coinbase,1,0.0,7849b9c8c03045dd25b1918cc2e52c427bfbc2cafeeb20747d83127ca4a9dfa6,1514679654,15.55362571
101,2017-12-30 19:20:54,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,1.738e-05,2c97c10cb4d4c4f6e9ada4fc3359f995f1f5874d8dc25bc8bdd9a04b11c1ccb3,1514679654,147.81487861
102,2017-12-30 19:20:54,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.000328,0a0d4e2fde41bf7a488babcc4ff5968f21225ae9ddbcaac5827e58f32b96da36,1514679654,1.65982997
103,2017-12-30 19:20:54,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,3.82e-05,c63c12afd8a2e7b642779e026870266cb7d5d912a8c74b4fc669963db670d355,1514679654,0.00228475
104,2017-12-30 19:20:54,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0001152,264c9b897e1be1b3b6d77da44d98f60550e540778be707587d9e115474ded46d,1514679654,0.00212856
105,2017-12-30 19:20:54,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0018894,09fe4c7d10eee93e6f4c9303bfbe7393e1d96a13ae95a8fa795809dc17201d9c,1514679654,0.0380335
106,2017-12-30 19:20:54,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0002712,6d8f5534c1f0c8170e7cdaddb35baf2cb6de31420aa71994c89cf3ad69dd6465,1514679654,0.7951288
